,df_hourscontinuous,df_hourscontinuous_nofnlwgt,df_hourscontinuous_nocontinent,df_hourscontinuous_nocontinent_nofnlwgt,df_hourscontinuous_nocountry,df_hourscontinuous_nocountry_nofnlwgt,df_hourscontinuous_nocountry_nocontinent,df_hourscontinuous_nocountry_nocontinent_nofnlwgt,df_hourscategorical,df_hourscategorical_nofnlwgt,df_hourscategorical_nocontinent,df_hourscategorical_nocontinent_nofnlwgt,df_hourscategorical_nocountry,df_hourscategorical_nocountry_nofnlwgt,df_hourscategorical_nocountry_nocontinent,df_hourscategorical_nocountry_nocontinent_nofnlwgt
test_score,0.859847553479223,0.859847553479223,0.8631669535283993,0.862675190558151,0.8620604868453405,0.8602163757069092,0.8602163757069092,0.8620604868453405,0.859847553479223,0.8603393164494714,0.8577575608556676,0.8608310794197197,0.8621834275879027,0.8605851979345955,0.862798131300713,0.8614457831325302
train_score,0.8748770491803278,0.8752049180327869,0.8746721311475409,0.8749180327868853,0.8698770491803278,0.8700819672131147,0.8678688524590163,0.8704918032786885,0.8744672131147541,0.8717622950819672,0.8727868852459016,0.8729508196721312,0.8699590163934426,0.8698360655737705,0.8670901639344263,0.8672540983606557
