,df_hourscontinuous,df_hourscontinuous_nofnlwgt,df_hourscontinuous_nocontinent,df_hourscontinuous_nocontinent_nofnlwgt,df_hourscontinuous_nocountry,df_hourscontinuous_nocountry_nofnlwgt,df_hourscontinuous_nocountry_nocontinent,df_hourscontinuous_nocountry_nocontinent_nofnlwgt,df_hourscategorical,df_hourscategorical_nofnlwgt,df_hourscategorical_nocontinent,df_hourscategorical_nocontinent_nofnlwgt,df_hourscategorical_nocountry,df_hourscategorical_nocountry_nofnlwgt,df_hourscategorical_nocountry_nocontinent,df_hourscategorical_nocountry_nocontinent_nofnlwgt
test_score,0.865502827637079,0.8619375461027785,0.865625768379641,0.8620604868453405,0.8662404720924515,0.8631669535283993,0.8648881239242685,0.8619375461027785,0.8651340054093927,0.8639045979837718,0.8651340054093927,0.8639045979837718,0.8657487091222031,0.864150479468896,0.8635357757560855,0.8630440127858372
train_score,0.8587295081967213,0.858811475409836,0.8587295081967213,0.858811475409836,0.8584836065573771,0.8585245901639345,0.8580737704918033,0.8580327868852459,0.8591393442622951,0.8589754098360656,0.8591803278688525,0.8589754098360656,0.8588934426229509,0.8586475409836065,0.8580327868852459,0.8577049180327869
